sigma,set,value
8,A,1
8,A,3
8,A,6
8,A,8
8,A,9
8,A,11
8,A,12
8,A,13
8,A,15
8,A,16
8,A,20
8,A,21
8,A,22
8,A,24
8,A,27
8,A,28
8,A,32
8,A,33
8,A,34
8,A,35
8,A,38
8,A,41
8,A,42
8,A,44
8,A,45
8,A,49
8,A,60
8,A,61
8,A,63
8,A,67
8,A,69
8,A,77
8,A,80
8,A,82
8,A,84
8,A,85
8,A,87
8,A,90
8,A,91
8,A,95
8,A,98
8,A,100
8,A,104
8,A,105
8,A,106
8,A,109
8,A,111
8,A,115
8,A,116
8,A,118
8,A,120
8,A,123
8,A,130
8,A,136
8,A,137
8,A,140
8,A,142
8,A,144
8,A,147
8,A,149
8,A,151
8,A,152
8,A,153
8,A,156
8,A,157
8,A,166
8,A,171
8,A,172
8,A,173
8,A,177
8,A,179
8,A,180
8,A,182
8,A,183
8,A,185
8,A,187
8,A,188
8,A,189
8,A,191
8,A,192
8,A,197
8,A,198
8,A,201
8,A,207
8,A,210
8,A,211
8,A,214
8,A,216
8,A,219
8,A,222
8,A,224
8,A,225
8,A,227
8,A,228
8,A,230
8,A,233
8,A,235
8,A,238
8,A,243
8,A,251
8,B,2
8,B,4
8,B,5
8,B,9
8,B,13
8,B,14
8,B,15
8,B,17
8,B,18
8,B,19
8,B,20
8,B,21
8,B,23
8,B,25
8,B,27
8,B,32
8,B,37
8,B,38
8,B,39
8,B,40
8,B,52
8,B,54
8,B,56
8,B,61
8,B,62
8,B,67
8,B,70
8,B,75
8,B,76
8,B,79
8,B,80
8,B,82
8,B,86
8,B,87
8,B,91
8,B,93
8,B,97
8,B,100
8,B,102
8,B,103
8,B,104
8,B,106
8,B,108
8,B,112
8,B,113
8,B,120
8,B,123
8,B,127
8,B,134
8,B,136
8,B,137
8,B,138
8,B,139
8,B,140
8,B,141
8,B,142
8,B,143
8,B,151
8,B,152
8,B,153
8,B,157
8,B,158
8,B,162
8,B,169
8,B,173
8,B,176
8,B,181
8,B,183
8,B,184
8,B,186
8,B,187
8,B,190
8,B,191
8,B,192
8,B,194
8,B,197
8,B,204
8,B,208
8,B,210
8,B,212
8,B,213
8,B,218
8,B,222
8,B,223
8,B,224
8,B,225
8,B,227
8,B,229
8,B,230
8,B,236
8,B,237
8,B,240
8,B,241
8,B,243
8,B,246
8,B,247
8,B,249
8,B,250
8,B,252
8,B,254
