sigma,set,value
24,A,0
24,A,1
24,A,2
24,A,3
24,A,4
24,A,5
24,A,6
24,A,7
24,A,8
24,A,9
24,A,10
24,A,11
24,A,12
24,A,13
24,A,14
24,A,15
24,A,16
24,A,17
24,A,18
24,A,19
24,A,20
24,A,21
24,A,22
24,A,23
24,A,24
24,A,25
24,A,26
24,A,27
24,A,28
24,A,29
24,A,30
24,A,31
24,A,32
24,A,33
24,A,34
24,A,35
24,A,36
24,A,37
24,A,38
24,A,39
24,A,40
24,A,41
24,A,42
24,A,43
24,A,44
24,A,45
24,A,46
24,A,47
24,A,48
24,A,49
24,A,50
24,A,51
24,A,52
24,A,53
24,A,54
24,A,55
24,A,56
24,A,57
24,A,58
24,A,59
24,A,60
24,A,61
24,A,62
24,A,63
24,A,64
24,A,65
24,A,66
24,A,67
24,A,68
24,A,69
24,A,70
24,A,71
24,A,72
24,A,73
24,A,74
24,A,75
24,A,76
24,A,77
24,A,78
24,A,79
24,A,80
24,A,81
24,A,82
24,A,83
24,A,84
24,A,85
24,A,86
24,A,87
24,A,88
24,A,89
24,A,90
24,A,91
24,A,92
24,A,93
24,A,94
24,A,95
24,A,96
24,A,97
24,A,98
24,A,99
24,A,100
24,A,101
24,A,102
24,A,103
24,A,104
24,A,105
24,A,106
24,A,107
24,A,108
24,A,109
24,A,110
24,A,111
24,A,112
24,A,113
24,A,114
24,A,115
24,A,116
24,A,117
24,A,118
24,A,119
24,A,120
24,A,121
24,A,122
24,A,123
24,A,124
24,A,125
24,A,126
24,A,127
24,A,128
24,A,129
24,A,130
24,A,131
24,A,132
24,A,133
24,A,134
24,A,135
24,A,136
24,A,137
24,A,138
24,A,139
24,A,140
24,A,141
24,A,142
24,A,143
24,A,144
24,A,145
24,A,146
24,A,147
24,A,148
24,A,149
24,A,150
24,A,151
24,A,152
24,A,153
24,A,154
24,A,155
24,A,156
24,A,157
24,A,158
24,A,159
24,A,160
24,A,161
24,A,162
24,A,163
24,A,164
24,A,165
24,A,166
24,A,167
24,A,168
24,A,169
24,A,170
24,A,171
24,A,172
24,A,173
24,A,174
24,A,175
24,A,176
24,A,177
24,A,178
24,A,179
24,A,180
24,A,181
24,A,182
24,A,183
24,A,184
24,A,185
24,A,186
24,A,187
24,A,188
24,A,189
24,A,190
24,A,191
24,A,192
24,A,193
24,A,194
24,A,195
24,A,196
24,A,197
24,A,198
24,A,199
24,A,200
24,A,201
24,A,202
24,A,203
24,A,204
24,A,205
24,A,206
24,A,207
24,A,208
24,A,209
24,A,210
24,A,211
24,A,212
24,A,213
24,A,214
24,A,215
24,A,216
24,A,217
24,A,218
24,A,219
24,A,220
24,A,221
24,A,222
24,A,223
24,A,224
24,A,225
24,A,226
24,A,227
24,A,228
24,A,229
24,A,230
24,A,231
24,A,232
24,A,233
24,A,234
24,A,235
24,A,236
24,A,237
24,A,238
24,A,239
24,A,240
24,A,241
24,A,242
24,A,243
24,A,244
24,A,245
24,A,246
24,A,247
24,A,248
24,A,249
24,A,250
24,A,251
24,A,252
24,A,253
24,A,254
24,A,255
24,A,256
24,A,257
24,A,258
24,A,259
24,A,260
24,A,261
24,A,262
24,A,263
24,A,264
24,A,265
24,A,266
24,A,267
24,A,268
24,A,269
24,A,270
24,A,271
24,A,272
24,A,273
24,A,274
24,A,275
24,A,276
24,A,277
24,A,278
24,A,279
24,A,280
24,A,281
24,A,282
24,A,283
24,A,284
24,A,285
24,A,286
24,A,287
24,A,288
24,A,289
24,A,290
24,A,291
24,A,292
24,A,293
24,A,294
24,A,295
24,A,296
24,A,297
24,A,298
24,A,299
24,A,300
24,A,301
24,A,302
24,A,303
24,A,304
24,A,305
24,A,306
24,A,307
24,A,308
24,A,309
24,A,310
24,A,311
24,A,312
24,A,313
24,A,314
24,A,315
24,A,316
24,A,317
24,A,318
24,A,319
24,A,320
24,A,321
24,A,322
24,A,323
24,A,324
24,A,325
24,A,326
24,A,327
24,A,328
24,A,329
24,A,330
24,A,331
24,A,332
24,A,333
24,A,334
24,A,335
24,A,336
24,A,337
24,A,338
24,A,339
24,A,340
24,A,341
24,A,342
24,A,343
24,A,344
24,A,345
24,A,346
24,A,347
24,A,348
24,A,349
